no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
肆.四.11.1,把手式蝶閥(10kg/cm2)  100∮,只,4.0,,,,,把手式蝶閥(10kg/cm2)  100∮
肆.四.12.1,橡膠防震軟管(10kg/cm2)  50∮,只,4.0,,,,,橡膠防震軟管(10kg/cm2)  50∮
肆.四.13.1,平衡控制閥  20∮,只,42.0,,,,,平衡控制閥  20∮
肆.四.13.2,平衡控制閥  25∮,只,8.0,,,,,平衡控制閥  25∮
肆.四.13.3,平衡控制閥  50∮,只,2.0,,,,,平衡控制閥  50∮
肆.四.14,"不銹鋼溫度計可調角度整附套筒  4""∮圓",只,4.0,,,,,"不銹鋼溫度計可調角度整附套筒  4""∮圓 型"
肆.四.15,"不銹鋼充油式壓力表附考克  4""∮",只,4.0,,,,,"不銹鋼充油式壓力表附考克  4""∮"
肆.四.16.1,冷媒管材(含PE保溫材),式,1.0,,,,,冷媒管材(含PE保溫材)
肆.四.16.2,冷媒管路安裝工資,式,1.0,,,,,冷媒管路安裝工資
肆.四.16.3,冷媒配管五金另料,式,1.0,,,,,冷媒配管五金另料
肆.四.16.4,室外主機二次側銜接結線工程,台,1.0,,,,,室外主機二次側銜接結線工程
肆.四.16.5,室內機銜接結線工程(含電管、電纜及吊支,台,1.0,,,,,室內機銜接結線工程(含電管、電纜及吊支 架)
肆.四.16.6,室外機排水預留工料(含PVC管及落水頭),台,1.0,,,,,室外機排水預留工料(含PVC管及落水頭)
肆.四.16.7,室內機排水配管工程(含保溫及吊支架),台,1.0,,,,,室內機排水配管工程(含保溫及吊支架)
肆.四.16.8,冷媒充填試運轉工料,式,1.0,,,,,冷媒充填試運轉工料
肆.四.17,管路標示,式,1.0,,,,,管路標示
肆.四.18,打洞修補及管路清洗,式,1.0,,,,,打洞修補及管路清洗
肆.四.19,機房內既設熱水管截斷盲封,式,1.0,,,,,機房內既設熱水管截斷盲封
肆.四.20,水管按裝工資,式,1.0,,,,,水管按裝工資
肆.四.21,水管保溫工資,式,1.0,,,,,水管保溫工資
肆.四.22,水管試水試壓工資,式,1.0,,,,,水管試水試壓工資 小計
肆.五,空調配電工程,式,,,,,,空調配電工程
肆.五.1,低壓配電盤，ESP-8-A/ESP-8-A1 PANEL,座,1.0,,,,,低壓配電盤，ESP-8-A/ESP-8-A1 PANEL
肆.五.2,低壓配電盤，ESP-8-B/ESP-8-B1 PANEL,座,1.0,,,,,低壓配電盤，ESP-8-B/ESP-8-B1 PANEL
肆.五.3.1,電線及電纜，XLPE線 CNS2655  8.0mm2,M,160.0,,,,,電線及電纜，XLPE線 CNS2655  8.0mm2
肆.五.3.2,電線及電纜，XLPE線 CNS2655  5.5mm2,M,120.0,,,,,電線及電纜，XLPE線 CNS2655  5.5mm2
肆.五.3.3,電線及電纜，XLPE線 CNS2655  3.5mm2,M,3000.0,,,,,電線及電纜，XLPE線 CNS2655  3.5mm2
肆.五.3.4,電線及電纜，XLPE線 CNS2655  2.0mm2,M,20.0,,,,,電線及電纜，XLPE線 CNS2655  2.0mm2
肆.五.4,配線另料,式,1.0,,,,,配線另料
肆.五.5.1,導線管，EMT管 CNS 2606  39ψ,M,40.0,,,,,導線管，EMT管 CNS 2606  39ψ
肆.五.5.2,導線管，EMT管 CNS 2606  25ψ,M,1020.0,,,,,導線管，EMT管 CNS 2606  25ψ
肆.五.6,EMT配管另料,式,1.0,,,,,EMT配管另料
肆.五.7,配管固定及裝接另料,式,1.0,,,,,配管固定及裝接另料
