no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
貳.二.17,矽酸鈣板窗簾盒(含批土漆水性水泥漆),M,6.0,,12000,2000,祺晟工程行,矽酸鈣板窗簾盒(含批土漆水性水泥漆)
貳.二.18,既有矽酸鈣板窗簾盒重新批土漆水泥漆),M,134.0,,,,,既有矽酸鈣板窗簾盒重新批土漆水泥漆)
貳.二.19,現有窗簾盒配合新作隔間牆調整(含損壞修,式,1.0,,60000,60000,祺晟工程行,現有窗簾盒配合新作隔間牆調整(含損壞修 復及面刷防火漆)
貳.二.20,防焰遮光捲簾(永久性防焰)(含固定座、捲,M2,134.0,,,,,防焰遮光捲簾(永久性防焰)(含固定座、捲 繩及捲繩固定架)
貳.二.21,病床拉簾(永久性防焰)(含軌道及固定架),床,42.0,,,,,病床拉簾(永久性防焰)(含軌道及固定架)
貳.二.22,防火區劃孔洞封板、防火填塞必要之防火,式,1.0,,,,,防火區劃孔洞封板、防火填塞必要之防火 束帶或防火套管(符合臺北市政府工程規範 07840貫穿結構用材料之防火阻絕)(天花板 上方及梯廳後方管道間地坪、防火泥填塞 及封板整層既有垂直豎道管線出口及孔洞)
貳.二.23,地坪滿舖耐磨PVC地毯(含自平式水泥),M2,616.0,,,,,地坪滿舖耐磨PVC地毯(含自平式水泥)
貳.二.24,地坪滿舖耐酸鹼PVC地毯(含自平式水泥),M2,664.0,,,,,地坪滿舖耐酸鹼PVC地毯(含自平式水泥)
貳.二.25,地坪水泥砂漿貼30*30cm止滑磚,M2,210.0,,,,,地坪水泥砂漿貼30*30cm止滑磚
貳.二.26,地坪玻璃纖維+5mmEPOXY(空調機房1.2),M2,45.0,,,,,地坪玻璃纖維+5mmEPOXY(空調機房1.2)
貳.二.27,病床拉簾(含拉簾軌道)(永久性防焰),組,42.0,,,,,病床拉簾(含拉簾軌道)(永久性防焰)
貳.二.28,既有空調風管拆除開口補平,式,1.0,,,,,既有空調風管拆除開口補平
貳.二.29,空調機房浮動地板,M2,10.0,,,,,空調機房浮動地板
貳.二.30,現況樑損壞修補(樹脂砂漿填補+碳纖維補,處,2.0,,,,,現況樑損壞修補(樹脂砂漿填補+碳纖維補 強)
貳.二.31,空調機房吸音材,式,1.0,,,,,空調機房吸音材
貳.二.32,輕隔間牆壁掛電視加強支撐鐵板,式,1.0,,10000,10000,祺晟工程行,輕隔間牆壁掛電視加強支撐鐵板 小計
貳.三,門窗工程,式,,,,,,門窗工程
貳.三.1,D1-不鏽鋼框木質門-單開(80x210),樘,5.0,,60000,12000,祺晟工程行,D1-不鏽鋼框木質門-單開(80x210)
貳.三.2,D2-不鏽鋼框木質門-單開(100x210),樘,6.0,,72000,12000,祺晟工程行,D2-不鏽鋼框木質門-單開(100x210)
貳.三.3,D2a-不鏽鋼框木質門含視窗-單開(,樘,2.0,,30000,15000,祺晟工程行,D2a-不鏽鋼框木質門含視窗-單開( 100x210)(長虹玻璃)
貳.三.4,D3a-不鏽鋼框木質門含視窗-單開(,樘,2.0,,24000,12000,祺晟工程行,D3a-不鏽鋼框木質門含視窗-單開( 120x210)
貳.三.5,D4a-不鏽鋼框木質門含視窗-單開(,樘,1.0,,16000,16000,祺晟工程行,D4a-不鏽鋼框木質門含視窗-單開( 140x210)
貳.三.6,D5-雙開不鏽鋼框木質門(150x210),樘,1.0,,16000,16000,祺晟工程行,D5-雙開不鏽鋼框木質門(150x210)
貳.三.7,AD2a-不鏽鋼框木質自動門含視窗-單開(,樘,1.0,,,,,AD2a-不鏽鋼框木質自動門含視窗-單開( 100x210)
貳.三.8,AD3a-不鏽鋼框木質自動門含視窗-單開(,樘,4.0,,,,,AD3a-不鏽鋼框木質自動門含視窗-單開( 120x210)
貳.三.9,AD4-不鏽鋼框木質自動門-單開(140x210),樘,1.0,,,,,AD4-不鏽鋼框木質自動門-單開(140x210)
貳.三.10,AD4a-不鏽鋼框木質自動門含視窗-單開(,樘,2.0,,,,,AD4a-不鏽鋼框木質自動門含視窗-單開( 140x210)
貳.三.11,防火門，FD3abc-不鏽鋼框木質防火門含視,樘,1.0,,,,,防火門，FD3abc-不鏽鋼框木質防火門含視 窗-單開(120x210)(F60A，具遮煙性能與消 防連動)
貳.三.12,防火門，FD4ab-不鏽鋼框木質防火門含視,樘,16.0,,,,,防火門，FD4ab-不鏽鋼框木質防火門含視 窗-單開(140x210)(F60A，具遮煙性能)
貳.三.13,防火門，FD4ab-1-不鏽鋼框木質防火門含,樘,2.0,,,,,防火門，FD4ab-1-不鏽鋼框木質防火門含 視窗-單開(140x210)(F60A，具遮煙性能、 180度鉸鏈)
貳.三.14,防火門，FID1b-雙開烤漆防火隔音門(,樘,2.0,,,,,"防火門，FID1b-雙開烤漆防火隔音門( 150x210)
(F60A，具遮煙性能)"
貳.三.15,HD1-不鏽鋼框木質橫拉門-單開(105x210),樘,18.0,,324000,18000,祺晟工程行,HD1-不鏽鋼框木質橫拉門-單開(105x210)
貳.三.16,防火門，SFD1b-烤漆鋼板防火維修門-單開,樘,2.0,,,,,防火門，SFD1b-烤漆鋼板防火維修門-單開 (40x90)(F60A，具遮煙性能)
貳.三.17,防火門，SFD2b-烤漆鋼板防火維修門-單開,樘,15.0,,,,,防火門，SFD2b-烤漆鋼板防火維修門-單開 (50x90)(F60A，具遮煙性能)
貳.三.18,防火門，SFD3b-烤漆鋼板防火維修門-單開,樘,1.0,,,,,防火門，SFD3b-烤漆鋼板防火維修門-單開 (70x157)(F60A，具遮煙性能)
貳.三.19,防火門，SFD4bc-不鏽鋼框不鏽鋼防火門-,樘,5.0,,,,,防火門，SFD4bc-不鏽鋼框不鏽鋼防火門- 單開(140x210)(F60A，具遮煙性能與消防 連動)
貳.三.20,防火門，SFD5bc-雙開不鏽鋼框烤漆鋼板防,樘,2.0,,,,,防火門，SFD5bc-雙開不鏽鋼框烤漆鋼板防 火門(220x210)(F60A，具遮煙性能與消防 連動)
貳.三.21,FRD1bc-不鏽鋼框防火鐵捲門含彈射門(,樘,3.0,,,,,FRD1bc-不鏽鋼框防火鐵捲門含彈射門( 400x210)(F60A，具遮煙性能與消防連動)( 含捲箱角鋼固定)
貳.三.22,LD1-不鏽鋼框木質百葉門-單開(100x210),樘,1.0,,15000,15000,祺晟工程行,LD1-不鏽鋼框木質百葉門-單開(100x210)
貳.三.23,FR1bc外掛式防火遮煙捲幕(F60A，具遮煙,樘,3.0,,,,,FR1bc外掛式防火遮煙捲幕(F60A，具遮煙 性能與消防連動)
貳.三.24,W1-不鏽鋼框固定窗 (728x120),樘,1.0,,,,,W1-不鏽鋼框固定窗 (728x120)
貳.三.25,W3-玻璃隔熱紙更新(含矽利康收邊),樘,25.0,,,,,W3-玻璃隔熱紙更新(含矽利康收邊)
貳.三.26,W4-原有玻璃拆除更新(含玻璃隔熱紙及矽,樘,5.0,,,,,W4-原有玻璃拆除更新(含玻璃隔熱紙及矽 利康收邊)
貳.三.27,W5-原有玻璃拆除更新(含立料*1，玻璃隔,樘,7.0,,,,,W5-原有玻璃拆除更新(含立料*1，玻璃隔 熱紙及矽利康收邊)
貳.三.28,空調機房進排氣百葉,樘,2.0,,,,,空調機房進排氣百葉
貳.三.29,廁所排氣百葉,樘,4.0,,,,,廁所排氣百葉 小計
貳.四.1,標誌，A.貼壁式科室名稱標示(Size:300×,座,22.0,,,,,標誌，A.貼壁式科室名稱標示(Size:300× 200×15㎜)
貳.四.2,標誌，B1.貼壁式服務空間標示(Size:,座,1.0,,,,,標誌，B1.貼壁式服務空間標示(Size: 170×170×15㎜)
貳.四.3,標誌，C.貼壁式房內緊急逃生圖標示(,座,18.0,,,,,標誌，C.貼壁式房內緊急逃生圖標示( Size:300×200×5㎜)
貳.四.4,標誌，D1.水晶立體字名稱標示,座,1.0,,,,,標誌，D1.水晶立體字名稱標示
貳.四.5,標誌，D2.貼壁式方向指引標示(Size:,座,3.0,,,,,標誌，D2.貼壁式方向指引標示(Size: 1200×300×17㎜)
貳.四.6,標誌，E.樓號標示(Size:高度約200㎜),字,7.0,,,,,標誌，E.樓號標示(Size:高度約200㎜)
貳.四.7,標誌，F.貼壁式方向引導標示(Size:450×,座,2.0,,,,,標誌，F.貼壁式方向引導標示(Size:450× 900×15㎜)
貳.四.8,標誌，G.貼壁式各樓層緊急逃生圖標示(,座,8.0,,,,,標誌，G.貼壁式各樓層緊急逃生圖標示( Size:600×600×15㎜)
貳.四.9,標誌，H.貼壁式房間號碼標示(Size:200×,座,18.0,,,,,標誌，H.貼壁式房間號碼標示(Size:200× 100×15㎜)
貳.四.10,標誌，I.貼壁式病床標示(Size:680×,座,41.0,,,,,標誌，I.貼壁式病床標示(Size:680× 220㎜)
貳.四.11,標誌，病房指標(Size:100X100x14mm),座,2.0,,,,,標誌，病房指標(Size:100X100x14mm)
貳.四.12,標誌，A8病房指標(Size:290X230x1mm),座,2.0,,,,,標誌，A8病房指標(Size:290X230x1mm)
貳.四.13,標誌，單位門面標示(Size:60X180x16mm),座,2.0,,,,,標誌，單位門面標示(Size:60X180x16mm)
貳.四.14,標誌，梯門指標 (Size:320X280x4mm),座,2.0,,,,,標誌，梯門指標 (Size:320X280x4mm)
貳.四.15,標誌，排稿校稿及施工安裝費用,式,1.0,,,,,標誌，排稿校稿及施工安裝費用 小計
貳.五,櫥櫃設備工程,式,,,,,,櫥櫃設備工程
貳.五.1,櫥櫃設備，1-護理站櫃台,座,1.0,,,,,櫥櫃設備，1-護理站櫃台
貳.五.2,櫥櫃設備，2-護理站水槽櫃(後方),座,1.0,,,,,櫥櫃設備，2-護理站水槽櫃(後方)
貳.五.3,櫥櫃設備，2-1-護理站病歷櫃,座,1.0,,,,,櫥櫃設備，2-1-護理站病歷櫃
貳.五.4,櫥櫃設備，3-準備室上下櫃含水槽,座,1.0,,,,,櫥櫃設備，3-準備室上下櫃含水槽
貳.五.5,櫥櫃設備，4-準備室上櫃,座,1.0,,,,,櫥櫃設備，4-準備室上櫃
貳.五.6,櫥櫃設備，5-準備室高櫃,座,1.0,,,,,櫥櫃設備，5-準備室高櫃
貳.五.7,櫥櫃設備，6-治療室上下櫃含水槽,座,1.0,,,,,櫥櫃設備，6-治療室上下櫃含水槽
貳.五.8,櫥櫃設備，6-1-治療室高櫃,座,1.0,,,,,櫥櫃設備，6-1-治療室高櫃
貳.五.9,櫥櫃設備，7-病房衣櫃1人,座,39.0,,,,,櫥櫃設備，7-病房衣櫃1人
貳.五.10,櫥櫃設備，7-1-病房衣櫃2人,座,1.0,,,,,櫥櫃設備，7-1-病房衣櫃2人
貳.五.11,櫥櫃設備，11-護理長辦公室玻璃高櫃,座,1.0,,,,,櫥櫃設備，11-護理長辦公室玻璃高櫃
貳.五.12,櫥櫃設備，12-休息室上下櫃含水槽,座,1.0,,,,,櫥櫃設備，12-休息室上下櫃含水槽
貳.五.13,櫥櫃設備，13-討論室高櫃,座,1.0,,,,,櫥櫃設備，13-討論室高櫃
貳.五.14,櫥櫃設備，14-茶水間水槽櫃,座,1.0,,,,,櫥櫃設備，14-茶水間水槽櫃
貳.五.15,櫥櫃設備，15-男女更衣室換洗衣櫃,座,3.0,,,,,櫥櫃設備，15-男女更衣室換洗衣櫃
貳.五.16,櫥櫃設備，16-更衣室衣櫃,座,49.0,,,,,櫥櫃設備，16-更衣室衣櫃
貳.五.17,櫥櫃設備，17-走道矮櫃,座,1.0,,,,,櫥櫃設備，17-走道矮櫃
貳.五.18,櫥櫃設備，18-走道矮櫃,座,1.0,,,,,櫥櫃設備，18-走道矮櫃
貳.五.19,櫥櫃設備，19-走道矮櫃,座,1.0,,,,,櫥櫃設備，19-走道矮櫃 小計
貳.六,雜項工程,式,,,,,,雜項工程
貳.六.1,廁所明鏡組,座,23.0,,,,,廁所明鏡組
貳.六.2,不銹鋼掛勾,只,23.0,,,,,不銹鋼掛勾
貳.六.3,擦手紙架(工作區)(符合院區既有型式),座,4.0,,,,,擦手紙架(工作區)(符合院區既有型式)
貳.六.4,"洗手乳架(符合院區既有型式)
(浴廁22、",座,27.0,,,,,"洗手乳架(符合院區既有型式)
(浴廁22、 治療1、廁所1、護理站1、準備室1、休息 室)"
貳.六.5,廁所不鏽鋼截水溝+不鏽鋼截水溝蓋(含排,座,23.0,,,,,廁所不鏽鋼截水溝+不鏽鋼截水溝蓋(含排 水相關設備管路工料)
貳.六.6,磁磚與PVC交接收編條,座,3.0,,,,,磁磚與PVC交接收編條
貳.六.7,5mm烤漆磁性白板玻璃(含背板、實木框、,才,64.0,,,,,5mm烤漆磁性白板玻璃(含背板、實木框、 筆盒及磁鐵10只、五金配件下方溝槽等)
貳.六.8,更衣室明鏡(W60*120cm)(含襯背板),座,2.0,,,,,更衣室明鏡(W60*120cm)(含襯背板)
貳.六.9,樓上管線漏水修繕,式,1.0,,,,,樓上管線漏水修繕
貳.六.10,現有護理站連到警衛室求救鈴保留，整修,式,1.0,,,,,現有護理站連到警衛室求救鈴保留，整修 後移位至新護理站，功能需復原。
貳.六.11,既有消防栓箱門面貼膜,組,5.0,,,,,既有消防栓箱門面貼膜
貳.六.12,懸吊式電視支桿,組,4.0,,,,,懸吊式電視支桿
貳.六.13,5mm烤漆玻璃(含背板),才,181.0,,,,,5mm烤漆玻璃(含背板) 小計
貳.七,露臺防水工程,式,,,,,,露臺防水工程
貳.七.1,地坪及女兒牆原有磁磚面、保護層、粉刷,M2,380.0,,,,,地坪及女兒牆原有磁磚面、保護層、粉刷 層、防水層敲除至結構體(含垃圾清運)(含 太空包吊裝)(含吊車費用)
貳.七.2,女兒牆及露臺平面高壓清洗,M2,425.0,,,,,女兒牆及露臺平面高壓清洗
貳.七.3,既有落水頭疏通(含更換落水頭)(含水頭防,個,5.0,,,,,既有落水頭疏通(含更換落水頭)(含水頭防 水下折與必要管線修改)
貳.七.4,彈性水泥防水層,M2,380.0,,,,,彈性水泥防水層
貳.七.5,收邊範圍不平處水泥砂漿抹平,M,101.0,,,,,收邊範圍不平處水泥砂漿抹平
貳.七.6,2000psi混凝土灌漿整平、粉光（含調整洩,M2,345.0,,,,,2000psi混凝土灌漿整平、粉光（含調整洩 水）
貳.七.7.1,加勁型不織布200g/m²,M2,345.0,,,,,加勁型不織布200g/m²
貳.七.7.2,PVC耐候防水膜1.5mmTH(聚脂纖維夾層),M2,345.0,,,,,PVC耐候防水膜1.5mmTH(聚脂纖維夾層)
貳.七.7.3,五金固定件(含固定墊片、碳鋼螺絲、工具,M2,345.0,,,,,五金固定件(含固定墊片、碳鋼螺絲、工具 損耗)
貳.七.8.1,PVC耐候防水膜1.5mmTH(玻璃纖維夾層),M,101.0,,,,,PVC耐候防水膜1.5mmTH(玻璃纖維夾層)
貳.七.8.2,平面收邊壓條2.0mmTH,M,101.0,,,,,平面收邊壓條2.0mmTH
貳.七.8.3,立面收邊壓條2.0mmTH(頂端斜角),M,101.0,,,,,立面收邊壓條2.0mmTH(頂端斜角)
貳.七.8.4,單液PU底劑,M,101.0,,,,,單液PU底劑
貳.七.8.5,單液PU填縫膠,M,101.0,,,,,單液PU填縫膠
貳.七.9.1,樹脂底漆,M2,45.0,,,,,樹脂底漆
貳.七.9.2,丙烯酸樹脂防水漆(二度塗佈),M2,45.0,,,,,丙烯酸樹脂防水漆(二度塗佈)
貳.七.10,現有空調分離主機配合防水施工修改、抬,組,3.0,,,,,現有空調分離主機配合防水施工修改、抬 高及復原
貳.七.11,空調戶外機RC基座,座,4.0,,,,,空調戶外機RC基座
貳.七.12,試水,式,1.0,,,,,試水 小計 建築工程 小計
參,水電及消防設備工程,式,,,,,,水電及消防設備工程
參.一,低壓開關箱設備工程,式,,,,,,低壓開關箱設備工程
參.一.1,既設MHA  3∮4W 380-220V (更換ACB),座,1.0,,,,,既設MHA  3∮4W 380-220V (更換ACB)
參.一.2,PLUG IN 3∮4W 380-220V (BUS WAY原廠),座,1.0,,,,,PLUG IN 3∮4W 380-220V (BUS WAY原廠)
參.一.3,"低壓配電盤，H8,EL8  PANEL 3∮4W 380-",座,1.0,,,,,"低壓配電盤，H8,EL8  PANEL 3∮4W 380- 220V"
參.一.4,"低壓配電盤，H8A,H8B  PANEL 3∮4W 380-",座,1.0,,,,,"低壓配電盤，H8A,H8B  PANEL 3∮4W 380- 220V"
參.一.5,"低壓配電盤，EH8A,EH8B  PANEL 3∮4W",座,1.0,,,,,"低壓配電盤，EH8A,EH8B  PANEL 3∮4W 380-220V"
參.一.6,"低壓配電盤，R8,ER8  PANEL 3∮4W 200-",座,1.0,,,,,"低壓配電盤，R8,ER8  PANEL 3∮4W 200- 115V"
參.一.7,"低壓配電盤，R8A,R8B,ER8A,ER8B",座,1.0,,,,,"低壓配電盤，R8A,R8B,ER8A,ER8B PANEL 3∮4W 200-115V"
參.一.8,低壓配電盤，U8 PANEL 3∮4W 200-115V,座,1.0,,,,,低壓配電盤，U8 PANEL 3∮4W 200-115V
參.一.9.1,電線及電纜，600V級低煙無毒耐燃電纜 1/,M,650.0,,,,,電線及電纜，600V級低煙無毒耐燃電纜 1/ C，5.5mm2
參.一.9.2,配線另料,式,1.0,,,,,配線另料
參.一.10.1,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,232.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，5.5mm2
參.一.10.2,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,265.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，8.0mm2
參.一.10.3,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,662.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，14mm2
參.一.10.4,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,221.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，22mm2
參.一.10.5,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,308.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，50mm2
參.一.10.6,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,132.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，60mm2
參.一.10.7,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,110.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，150mm2
參.一.10.8,電線及電纜，600V交連聚乙烯絕緣聚氯乙,M,101.0,,,,,電線及電纜，600V交連聚乙烯絕緣聚氯乙 烯被覆電力電纜(XLPE)，1/C，200mm2
參.一.10.9,配線另料,式,1.0,,,,,配線另料
參.一.11.1,電線及電纜，600V聚氯乙烯絕緣電線，單,M,33.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，單 線，2.0mm
參.一.11.2,電線及電纜，600V聚氯乙烯絕緣電線，絞,M,231.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，絞 線，5.5mm2
參.一.11.3,電線及電纜，600V聚氯乙烯絕緣電線，絞,M,55.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，絞 線，8.0mm2
參.一.11.4,電線及電纜，600V聚氯乙烯絕緣電線，絞,M,110.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，絞 線，14mm2
參.一.11.5,電線及電纜，600V聚氯乙烯絕緣電線，絞,M,53.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，絞 線，22mm2
參.一.11.6,配線另料,式,1.0,,,,,配線另料
參.一.12.1,導線管，電線用鋼管，無螺紋，稱呼E25,M,235.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E25
參.一.12.2,導線管，電線用鋼管，無螺紋，稱呼E31,M,19.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E31
參.一.12.3,導線管，電線用鋼管，無螺紋，稱呼E39,M,99.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E39
參.一.12.4,導線管，電線用鋼管，無螺紋，稱呼E51,M,220.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E51
參.一.12.5,導線管，電線用鋼管，無螺紋，稱呼E63,M,71.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E63
參.一.12.6,導線管，電線用鋼管，無螺紋，稱呼E75,M,33.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E75
參.一.12.7,配管另料,式,1.0,,,,,配管另料
參.一.13.1,導線管，電線用鋼管，厚管，稱呼G104,M,19.0,,,,,導線管，電線用鋼管，厚管，稱呼G104
參.一.13.2,配管另料,式,1.0,,,,,配管另料
參.一.14.1,直式線槽本體 (600x100mm 3M一支),M,121.0,,,,,直式線槽本體 (600x100mm 3M一支)
參.一.14.2,直式線槽上蓋  (600x100mm 3M一支),M,121.0,,,,,直式線槽上蓋  (600x100mm 3M一支)
參.一.14.3,水平L型90度接頭600W,式,1.0,,,,,水平L型90度接頭600W
參.一.14.4,水平T型接頭600W,式,1.0,,,,,水平T型接頭600W
參.一.14.5,水平異徑T型接頭(600W*300W*600W  100H),式,1.0,,,,,水平異徑T型接頭(600W*300W*600W  100H)
參.一.14.6,線槽蓋板夾,式,1.0,,,,,線槽蓋板夾
參.一.14.7,線槽連接片,式,1.0,,,,,線槽連接片
參.一.14.8,"其他另料
(含接地銅片,SUS外側固定片,",式,1.0,,,,,"其他另料
(含接地銅片,SUS外側固定片, SUS馬車螺絲,終端封板)"
參.一.14.9,吊管架固定另料(戶外採不銹鋼材質),式,1.0,,,,,吊管架固定另料(戶外採不銹鋼材質)
參.一.15.1,直式線槽本體 (300x100mm 3M一支),M,58.0,,,,,直式線槽本體 (300x100mm 3M一支)
參.一.15.2,直式線槽上蓋  (300x100mm 3M一支),M,58.0,,,,,直式線槽上蓋  (300x100mm 3M一支)
參.一.15.3,水平L型90度接頭300W,式,1.0,,,,,水平L型90度接頭300W
參.一.15.4,水平T型接頭300W,式,1.0,,,,,水平T型接頭300W
參.一.15.5,垂直下降接頭30W,式,1.0,,,,,垂直下降接頭30W
參.一.15.6,線槽蓋板夾,式,1.0,,,,,線槽蓋板夾
參.一.15.7,線槽連接片,式,1.0,,,,,線槽連接片
參.一.15.8,"其他另料
(含接地銅片,SUS外側固定片,",式,1.0,,,,,"其他另料
(含接地銅片,SUS外側固定片, SUS馬車螺絲,終端封板)"
參.一.15.9,機電顧問檢測費(含繪圖送審.竣工圖整理,式,1.0,,,,,"機電顧問檢測費(含繪圖送審.竣工圖整理 .護貝,A1晒圖)"
參.一.15.10,"空調及消防設備,更換接既設測試
(含增加",式,1.0,,,,,"空調及消防設備,更換接既設測試
(含增加 配管線及另件)"
參.一.15.11,低壓TAF試驗報告費,式,1.0,,,,,低壓TAF試驗報告費
參.一.15.12,拉線箱2.0mm厚鍍鋅鋼板製,式,1.0,,,,,拉線箱2.0mm厚鍍鋅鋼板製
參.一.16,"牆壁及地坪管路打鑿埋設及復舊油漆
(含",式,1.0,,,,,"牆壁及地坪管路打鑿埋設及復舊油漆
(含 人機料及敲除運棄)"
參.一.17,雜項另料,式,1.0,,,,,雜項另料
參.一.18,運雜費,式,1.0,,,,,運雜費
參.一.19,按裝工資,式,1.0,,,,,按裝工資 小計
參.二,照明插座設備工程,式,,,,,,照明插座設備工程
參.二.1,照明燈具，LED平頂燈25W(直下式)(配合天,盞,235.0,,,,,照明燈具，LED平頂燈25W(直下式)(配合天 花板)
參.二.2,照明燈具，現有LED平頂燈清潔保養,盞,62.0,,,,,照明燈具，現有LED平頂燈清潔保養
參.二.3,照明燈具，LED機房吸頂燈 18W X2,盞,8.0,,,,,照明燈具，LED機房吸頂燈 18W X2
參.二.4,照明燈具，崁頂筒燈 24WX1,盞,28.0,,,,,照明燈具，崁頂筒燈 24WX1
參.二.5,照明燈具，LED鋁燈條(櫥櫃用),M,2.0,,,,,照明燈具，LED鋁燈條(櫥櫃用)
參.二.6,照明控制開關，單切暗開關 110V (220V),組,153.0,,,,,"照明控制開關，單切暗開關 110V (220V) 附夜間指示燈
 (含鐵片,蓋板,BOX)"
參.二.7,照明控制開關，三路暗開關 110V (220V),組,4.0,,,,,"照明控制開關，三路暗開關 110V (220V) 附夜間指示燈'
(含鐵片,蓋板,BOX)"
參.二.8,照明控制開關，紅外線感應開關  110V (,組,11.0,,,,,"照明控制開關，紅外線感應開關  110V ( 220V含鐵片,蓋板,BOX)"
參.二.9,照明控制開關，二線式觸控開關 110-,組,12.0,,,,,照明控制開關，二線式觸控開關 110- 220V
參.二.10,照明控制開關，二線式觸控開關 110-,組,1.0,,,,,照明控制開關，二線式觸控開關 110- 220V (主機)
參.二.11,接線裝置，雙聯暗插座附蓋板2P+E125V-,組,220.0,,,,,"接線裝置，雙聯暗插座附蓋板2P+E125V- 15A,
標註有""E""者為緊急電源回路"
參.二.12,接線裝置，雙聯暗插座附蓋板 接地型2P+,組,10.0,,,,,接線裝置，雙聯暗插座附蓋板 接地型2P+ E125V-15A附防水蓋板(打蠟用)
參.二.13,接線裝置，雙聯暗插座附蓋板 接地型2P+,組,46.0,,,,,接線裝置，雙聯暗插座附蓋板 接地型2P+ E125V-15A  附防水防塵蓋板 高度=120CM
參.二.14,接線裝置，單聯暗插座附蓋板2P+E125V-,組,9.0,,,,,接線裝置，單聯暗插座附蓋板2P+E125V- 15A(感應水龍頭用 )附防水蓋板
參.二.15,接線裝置，單聯暗插座附蓋板2P+E125V-,組,23.0,,,,,接線裝置，單聯暗插座附蓋板2P+E125V- 15A 附防水蓋板(免治馬桶用)
參.二.16,"接線裝置，雙聯暗插座附蓋板接地型,2P+",組,2.0,,,,,"接線裝置，雙聯暗插座附蓋板接地型,2P+ E-250V-20A 含蓋板"
參.二.17,"接線裝置，雙聯暗插座附蓋板接地型,2P+",組,7.0,,,,,"接線裝置，雙聯暗插座附蓋板接地型,2P+ E-250V-20A 含蓋板 附防水蓋板(打蠟用)"
參.二.18,接線裝置，單聯暗插座附蓋板2P+E125V-,組,128.0,,,,,接線裝置，單聯暗插座附蓋板2P+E125V- 15A(消防用及窗簾盒用)
參.二.19,接線裝置，電動門出線口,式,1.0,,,,,接線裝置，電動門出線口
參.二.20,接線裝置，馬達出線口,式,1.0,,,,,接線裝置，馬達出線口
參.二.21,接線裝置，其他燈具、插座及開關,式,1.0,,,,,接線裝置，其他燈具、插座及開關
參.二.22.1,電線及電纜，600V聚氯乙烯絕緣電線，單,M,5680.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，單 線，2.0mm
參.二.22.2,電線及電纜，600V聚氯乙烯絕緣電線，絞,M,11500.0,,,,,電線及電纜，600V聚氯乙烯絕緣電線，絞 線，5.5mm2
參.二.22.3,配線另料,式,1.0,,,,,配線另料
參.二.23.1,電線及電纜，600V 級 PVC  電纜線,M,5185.0,,,,,電線及電纜，600V 級 PVC  電纜線 5.5mm2X3C
參.二.23.2,配線另料,式,1.0,,,,,配線另料
參.二.24.1,導線管，電線用鋼管，無螺紋，稱呼E19,M,1255.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E19
參.二.24.2,導線管，電線用鋼管，無螺紋，稱呼E25,M,3589.0,,,,,導線管，電線用鋼管，無螺紋，稱呼E25
參.二.24.3,配管另件,式,1.0,,,,,配管另件
參.二.25,燈具安裝及固定另件,式,1.0,,,,,燈具安裝及固定另件
參.二.26,運雜費,式,1.0,,,,,運雜費
參.二.27,按裝工資,式,1.0,,,,,按裝工資 小計
參.三,弱電設備工程,式,,,,,,弱電設備工程
參.三.1,接線裝置，網路插座及電話插座(含出線口,組,32.0,,,,,接線裝置，網路插座及電話插座(含出線口 )
參.三.2,接線裝置，電話插座(含出線口),組,1.0,,,,,接線裝置，電話插座(含出線口)
